date,CA_sales,TX_sales,WI_sales,total_sales
1/29/2011,36276.1,24100.451,21274.059,81650.61
1/30/2011,35047.46,23771.68,20151.43,78970.57
1/31/2011,25283.73,16609.832,15813.35,57706.914
2/1/2011,26917.002,17957.96,15886.24,60761.203
2/2/2011,25175.63,14455.859,7328.46,46959.953
2/3/2011,27496.328,22009.02,19872.031,69377.375
2/4/2011,31251.719,16004.57,21532.77,68789.06
2/5/2011,42484.77,23962.941,27000.04,93447.75
2/6/2011,38055.918,25552.82,19888.82,83497.56
2/7/2011,29617.3,19250.879,16296.5205,65164.7
2/8/2011,28774.32,16664.691,15440.38,60879.39
2/9/2011,26731.17,16753.69,16923.83,60408.688
2/10/2011,30009.871,16386.6,16345.53,62742
2/11/2011,31809.379,19227.04,20947.69,71984.11
2/12/2011,39853.88,26771.611,25959.41,92584.91
2/13/2011,43578.6,32372.6,24812.629,100763.83
2/14/2011,25228.22,18626.73,15873.939,59728.89
2/15/2011,25817.49,20218.7,18242.121,64278.31
2/16/2011,24838.45,18226.371,15920.77,58985.59
2/17/2011,23078.69,17416.23,16694.07,57188.992
2/18/2011,28919.871,19273.95,19274.172,67467.99
2/19/2011,38052.11,25921.87,23676.85,87650.83
2/20/2011,38102.42,26977.88,16289.141,81369.445
2/21/2011,33537.37,19361.78,12648.42,65547.57
2/22/2011,24986.13,17501.129,12893.43,55380.688
2/23/2011,24186.71,15696.641,15186.92,55070.273
2/24/2011,22904.34,16625.51,14456.49,53986.344
2/25/2011,27753.818,16985.64,17037.41,61776.87
2/26/2011,37640.44,23538.97,20660.078,81839.49
2/27/2011,35602.32,24910.459,18938.469,79451.25
2/28/2011,25737.219,18052.46,15004.98,58794.66
3/1/2011,27179.36,18921.719,16439.1,62540.18
3/2/2011,26471.26,16849.79,16675.49,59996.54
3/3/2011,28015.5,17958.541,18543.941,64517.98
3/4/2011,29179.85,17636.129,17204.58,64020.555
3/5/2011,39088.57,25202.28,21952.91,86243.766
3/6/2011,44367.832,28037.988,21899.58,94305.4
3/7/2011,29922.85,20919.041,16141.949,66983.84
3/8/2011,27855.932,17178.72,16211.18,61245.832
3/9/2011,25980.24,18489.38,14302.199,58771.82
3/10/2011,27239.98,16934.621,15930.131,60104.734
3/11/2011,30560.799,19173.82,18381.21,68115.83
3/12/2011,37868.418,24561.951,23233.64,85664.01
3/13/2011,39819.95,26376.01,19783.691,85979.66
3/14/2011,28851.129,20113.012,16877.8,65841.94
3/15/2011,25235.219,20214.75,17102.1,62552.07
3/16/2011,26715.691,17779.09,15581.551,60076.332
3/17/2011,25848.47,17770.17,13890.7,57509.34
3/18/2011,28037.46,19259.32,17550.36,64847.14
3/19/2011,40391.547,22064.379,20991.61,83447.53
3/20/2011,39958.85,24587.7,16979.02,81525.57
3/21/2011,28430.59,18309.28,14629.189,61369.055
3/22/2011,26146.129,15838.43,12620.4,54604.96
3/23/2011,23431.049,15839.81,12410.96,51681.82
3/24/2011,21426.48,15643.46,13399.42,50469.36
3/25/2011,30253.55,17034.7,15486.57,62774.82
3/26/2011,38154.41,22208.66,19898.11,80261.18
3/27/2011,37979.6,25520.68,17745.309,81245.59
3/28/2011,27038.871,16980.42,13488.131,57507.42
3/29/2011,23612.81,15479.709,13478.57,52571.09
3/30/2011,23320.648,14726.289,12096.689,50143.625
3/31/2011,26102.72,15970.141,13908.619,55981.477
4/1/2011,33536.59,20960.77,19883.09,74380.45
4/2/2011,41279.258,24395.69,24984.17,90659.12
4/3/2011,41841.52,27005.5,20274.3,89121.31
4/4/2011,33205.27,17603.27,15251.23,66059.766
4/5/2011,28549.26,18294.012,15704.91,62548.184
4/6/2011,28024.58,17177.01,15008.93,60210.52
4/7/2011,28891.66,18552.84,13146.1,60590.6
4/8/2011,30618.299,18869.21,17315.031,66802.54
4/9/2011,39719.23,24411.879,22016.42,86147.53
4/10/2011,42060.57,26078.51,16941.26,85080.336
4/11/2011,30649.49,20325.469,15634.41,66609.375
4/12/2011,25794.46,19345.922,16420.41,61560.793
4/13/2011,24435.87,19003.56,13598.5,57037.93
4/14/2011,26006.52,17384.39,15434.08,58824.992
4/15/2011,30367.592,21145.51,17161.91,68675.016
