CA_sales,TX_sales,WI_sales,total_sales
96607.3,64481.96,57238.836,218328.1
858141.5,566704.6,501031.62,1925877.8
934485.75,603580.0,514834.72,2052900.5
938121.1,602348.4,486944.44,2027413.9
926659.06,606963.4,469365.62,2002988.1
949949.25,630484.6,491284.16,2071718.0
1046030.1,679306.0,526518.7,2251854.8
1036543.44,699718.8,505580.34,2241842.5
1025983.75,672075.4,512596.38,2210655.5
1111783.1,724817.2,546837.6,2383438.0
1003401.6,656881.94,503434.4,2163718.0
1086538.0,698819.56,555243.44,2340601.0
1110949.2,699342.7,564354.6,2374646.8
1147395.2,733118.6,590969.25,2471483.0
1257944.5,808197.06,620745.75,2686887.2
1189595.6,795193.06,568552.6,2553341.2
1222418.5,822167.06,633869.9,2678455.5
1278904.8,848351.94,730078.75,2857335.5
1297112.9,843494.5,746970.4,2887577.8
1348008.5,866978.75,748221.94,2963209.2
1301457.4,852356.56,752072.94,2905887.0
1219030.0,815709.9,714124.4,2748864.2
1121697.4,752585.4,787596.8,2661879.8
1202059.8,818975.2,838599.06,2859634.0
1203368.4,780592.7,820237.0,2804198.0
1157544.4,813216.25,826817.8,2797578.5
1320201.9,899050.9,881132.3,3100385.0
1272557.1,809302.4,748667.75,2830527.2
1353475.1,848773.7,749809.5,2952058.2
1402832.8,889509.8,762514.6,3054857.2
1442940.1,898105.06,778813.44,3119858.8
1478503.0,920272.9,810866.44,3209642.2
1429757.1,876860.1,791539.9,3098157.2
1439955.1,875947.7,812321.06,3128223.8
1320843.8,808269.94,773247.5,2902361.2
1319351.1,816345.9,789829.3,2925526.2
1332990.8,791193.75,802836.2,2927020.8
1257810.6,793284.2,802909.4,2854004.2
1444020.6,901891.2,876673.6,3222585.5
1419686.9,892621.7,809110.8,3121419.2
1439372.8,889588.56,831984.25,3160945.5
1429084.1,894205.9,816535.7,3139825.8
1474599.2,921618.5,833106.75,3229324.5
1516651.4,935014.3,873934.25,3325600.0
1455391.6,872838.3,845045.75,3173275.5
1503731.2,928708.75,919821.3,3352261.5
1434731.4,884080.2,888132.3,3206944.0
1378213.2,889386.6,881107.2,3148707.0
1428173.1,923879.8,936618.0,3288671.0
1325499.4,931852.7,905518.1,3162870.2
1510218.0,1067839.4,936837.8,3514895.2
1473305.2,1034074.5,908393.9,3415773.5
1563556.6,1086840.9,949945.2,3600342.8
1554915.2,999972.5,888954.6,3443842.5
1659815.4,1058435.4,952702.6,3670953.5
1755863.2,1064166.6,955925.7,3775955.5
1639157.9,988880.0,940840.44,3568878.2
1729761.2,1061956.8,1048749.9,3840467.8
1575259.8,991335.94,961303.25,3527899.0
1585835.5,1012325.25,1007746.7,3605907.5
1685250.9,1048777.1,1083462.6,3817490.5
1625600.2,1080712.6,1115585.1,3821898.0
1733281.4,1110376.2,1132680.2,3976337.8
1797201.4,1099718.5,1170903.5,4067823.5
1386233.4,866166.3,899316.44,3151716.2
